codigo,nome
1,Music
2,Shoes
3,Industrial
4,Electronics
5,Baby
6,Shoes
7,Movies
8,Tools
9,Toys
10,Books
11,Industrial
12,Jewelry
13,Automotive
14,Outdoors
15,Movies
16,Home
17,Games
18,Grocery
19,Home
20,Tools
21,Garden
22,Jewelry
23,Books
24,Beauty
25,Industrial
26,Baby
27,Outdoors
28,Health
29,Garden
30,Electronics
31,Computers
32,Outdoors
33,Kids
34,Outdoors
35,Home
36,Clothing
37,Music
38,Movies
39,Grocery
40,Health
41,Sports
42,Sports
43,Shoes
44,Grocery
45,Outdoors
46,Books
47,Garden
48,Industrial
49,Movies
50,Grocery
51,Baby
52,Computers
53,Industrial
54,Tools
55,Industrial
56,Movies
57,Books
58,Health
59,Health
60,Computers
61,Books
62,Clothing
63,Health
64,Clothing
65,Kids
66,Electronics
67,Sports
68,Kids
69,Health
70,Shoes
71,Home
72,Industrial
73,Toys
74,Clothing
75,Music
76,Beauty
77,Computers
78,Grocery
79,Industrial
80,Tools
81,Garden
82,Music
83,Baby
84,Movies
85,Shoes
86,Automotive
87,Kids
88,Music
89,Home
90,Beauty
91,Toys
92,Electronics
93,Garden
94,Automotive
95,Baby
96,Movies
97,Jewelry
98,Grocery
99,Automotive
100,Industrial
101,Movies
102,Music
103,Games
104,Sports
105,Kids
106,Clothing
107,Baby
108,Tools
109,Home
110,Games
111,Baby
112,Games
113,Outdoors
114,Electronics
115,Games
116,Kids
117,Industrial
118,Tools
119,Industrial
120,Garden
121,Outdoors
122,Movies
123,Clothing
124,Kids
125,Movies
126,Outdoors
127,Home
128,Grocery
129,Grocery
130,Tools
131,Music
132,Home
133,Books
134,Movies
135,Kids
136,Garden
137,Garden
138,Clothing
139,Grocery
140,Games
141,Beauty
142,Kids
143,Shoes
144,Automotive
145,Home
146,Grocery
147,Tools
148,Industrial
149,Computers
150,Outdoors
151,Jewelry
152,Health
153,Computers
154,Automotive
155,Computers
156,Tools
157,Automotive
158,Clothing
159,Beauty
160,Outdoors
161,Music
162,Beauty
163,Grocery
164,Home
165,Computers
166,Beauty
167,Automotive
168,Home
169,Games
170,Music
171,Books
172,Baby
173,Garden
174,Outdoors
175,Kids
176,Books
177,Sports
178,Movies
179,Home
180,Tools
181,Baby
182,Books
183,Electronics
184,Books
185,Clothing
186,Computers
187,Outdoors
188,Shoes
189,Toys
190,Jewelry
191,Books
192,Books
193,Music
194,Beauty
195,Music
196,Kids
197,Computers
198,Home
199,Automotive
200,Toys
201,Games
202,Home
203,Beauty
204,Automotive
205,Health
206,Home
207,Jewelry
208,Games
209,Kids
210,Automotive
211,Grocery
212,Music
213,Clothing
214,Jewelry
215,Computers
216,Movies
217,Movies
218,Garden
219,Electronics
220,Grocery
221,Computers
222,Beauty
223,Toys
224,Automotive
225,Shoes
226,Music
227,Home
228,Shoes
229,Jewelry
230,Health
231,Movies
232,Toys
233,Computers
234,Outdoors
235,Toys
236,Toys
237,Baby
238,Grocery
239,Games
240,Computers
241,Industrial
242,Sports
243,Industrial
244,Shoes
245,Toys
246,Games
247,Garden
248,Shoes
249,Games
250,Sports
251,Outdoors
252,Clothing
253,Health
254,Industrial
255,Home
256,Garden
257,Movies
258,Toys
259,Beauty
260,Clothing
261,Industrial
262,Kids
263,Health
264,Garden
265,Shoes
266,Sports
267,Garden
268,Tools
269,Home
270,Health
271,Outdoors
272,Sports
273,Industrial
274,Sports
275,Automotive
276,Computers
277,Music
278,Baby
279,Games
280,Music
281,Computers
282,Grocery
283,Toys
284,Books
285,Grocery
286,Tools
287,Grocery
288,Grocery
289,Beauty
290,Beauty
291,Sports
292,Garden
293,Music
294,Jewelry
295,Home
296,Games
297,Health
298,Home
299,Jewelry
300,Shoes
301,Music
302,Automotive
303,Baby
304,Garden
305,Jewelry
306,Beauty
307,Computers
308,Grocery
309,Toys
310,Books
311,Computers
312,Electronics
313,Outdoors
314,Garden
315,Clothing
316,Games
317,Sports
318,Electronics
319,Clothing
320,Games
321,Health
322,Kids
323,Music
324,Health
325,Books
326,Baby
327,Music
328,Grocery
329,Sports
330,Home
331,Tools
332,Games
333,Movies
334,Automotive
335,Shoes
336,Garden
337,Sports
338,Baby
339,Garden
340,Grocery
341,Clothing
342,Baby
343,Kids
344,Health
345,Beauty
346,Games
347,Books
348,Music
349,Toys
350,Health
351,Kids
352,Kids
353,Outdoors
354,Games
355,Baby
356,Games
357,Clothing
358,Garden
359,Shoes
360,Industrial
361,Books
362,Shoes
363,Health
